id,parameter,subsystem,value,unit,tag,owner,feeds_into,source,class2_flag,last_changed,note
SYS-01,Manchester chip rate,System,100,kchip/s,DECIDED,Batu,"SYS-02, RX-03, GS-01",01 §3.1,OK,2026-09-08,
SYS-02,Coded bit rate,System,50,kbps,DECIDED,Batu,"SYS-03, GS-02",01 §3.1,OK,2026-09-08,Manchester halves chip rate
SYS-03,Image payload rate,System,~40,kbps,MODELED,Batu,GS-01,01 §3.1,OK,2026-09-08,SSDV 205 of 256 bytes are payload
SYS-04,C1 stationary link range,System,>=1000,m,DECIDED,Berky,"LNK-01, LNK-02",01 §3.1,RE-CHECK,2026-09-08,Does not close on paper at Class 2 power (see LNK-02)
SYS-05,C2 tracking link range,System,300 (200-500),m,DECIDED,Berky,"LNK-03, TRK-03",01 §3.1,RE-CHECK,2026-09-08,Same on-axis power as C1 at 200 mrad (see LNK-03)
SYS-06,C3 indoor demo range,System,50-80,m,DECIDED,Berky,TX-09,01 §3.1,OK,2026-09-08,
TX-01,Campus laser wavelength,Transmitter,660 (was 850),nm,DECIDED,Berky,"OPT-03, OPT-06, RX-01, SAF-02, TX-03, TX-09, FLT-01",coordinator review 2026-09-24,CHANGED,2026-09-24,Class 2 baseline; not yet in 01/02/05
TX-02,Campus laser on-state power,Transmitter,<=1 (was <=200),mW,DECIDED,Berky,"LNK-01, TX-04, SAF-01, RX-04",coordinator review 2026-09-24,CHANGED,2026-09-24,Confirm with EHS whether the Class 2 limit applies to on-state or average power under Manchester (3 dB difference)
TX-03,Diode wavelength drift,Transmitter,0.3,nm/K,ASSUMED,Berky,OPT-03,02 A1,RE-CHECK,2026-09-12,Value was for 850 nm diodes; take from the chosen 660 nm datasheet
TX-04,Laser driver set current,Transmitter,TBD,mA,TBD,Shabazz,PWR-02,02 A4,RE-CHECK,2026-09-12,A 1 mW diode needs far less current than a 200 mW one; driver topology may simplify
TX-05,Driver rise/fall time,Transmitter,<1,µs,TARGET,Shabazz,RX-03,02 A4,OK,2026-09-12,Measure with fast photodiode
TX-06,Narrow beam divergence (full angle),Transmitter,60 (±1.72°),mrad,TARGET,Berky,"LNK-01, TRK-05",01 §4,RE-CHECK,2026-09-08,Narrowing the beam is one way to recover margin but shrinks pointing tolerance
TX-07,Wide beam divergence (full angle),Transmitter,200 (±5.73°),mrad,TARGET,Berky,"LNK-03, PWR-01",01 §4,OK,2026-09-08,
TX-08,Diffuser insertion loss,Transmitter,0,dB,ASSUMED,Berky,LNK-03,05 §4,OK,2026-09-12,Measure before/after; directly cuts C2 margin
TX-09,Indoor attenuation to mimic 1 km,Transmitter,26.0 @50 m / 21.9 @80 m,dB,MODELED,Berky,SYS-06,01 §5.3,CHANGED,2026-09-08,At 1 mW almost no attenuation is needed; re-derive after C1 target is settled
OPT-01,Telescope aperture,Optics,130,mm,DECIDED,Berky,"LNK-01, OPT-04",01 §7.3,OK,2026-09-12,Capture -53.3 dB at 1 km in a 60 m spot
OPT-02,Telescope focal length,Optics,650-750,mm,TBD,Berky,"OPT-05, OPT-07",02 C1,OK,2026-09-12,Set by chosen OTA
OPT-03,Receiver bandpass filter,Optics,850/40 (must change),nm,DECIDED,Berky,"LNK-04, RX-01",02 C3,CHANGED,2026-09-24,An 850 nm filter blocks 660 nm light; pick a filter matched to the 660 nm diode
OPT-04,Telescope + gear mass,Optics,<=3.5,kg,TARGET,Berky,TRK-01,02 C1,OK,2026-09-12,Weigh everything on the mount
OPT-05,Receiver field of view,Optics,3.6-7,mrad,MODELED,Berky,TRK-03,05 §4,OK,2026-09-12,Measure by angular scan
OPT-06,Guide camera,Optics,mono IR-pass (candidate),-,DECIDED,Matei,TRK-05,02 C6,RE-CHECK,2026-09-24,660 nm is visible; IR-pass window no longer required; re-check false bright sources
OPT-07,Boresight parallax 1 km vs 50 m,Optics,3.8,mrad,MODELED,Berky,TRK-05,01 §7.3,OK,2026-09-08,Recalibrate per range
RX-01,Detector responsivity,Receiver,0.5 @850 nm,A/W,ASSUMED,Bilal,"LNK-02, RX-04",05 §4,RE-CHECK,2026-09-12,Silicon responds less at 660 nm; take from datasheet then measure
RX-02,PIN receiver sensitivity @50 kbps,Receiver,-50,dBm,TARGET,Bilal,"LNK-02, LNK-03",05 §4,OK,2026-09-12,Replace with measured BER curve
RX-03,Receiver bandwidth,Receiver,~100,kHz,TARGET,Bilal,RX-04,02 B2,OK,2026-09-12,Follows chip rate SYS-01
RX-04,TIA feedback resistor,Receiver,120,kΩ,DECIDED,Bilal,RX-05,02 B2,RE-CHECK,2026-09-12,Signal ~23 dB lower at 1 mW; gain/stability trade must be redone
RX-05,Photodiode capacitance (BPW34 @3 V),Receiver,25,pF,VERIFIED,Bilal,RX-04,02 B1,OK,2026-09-12,Datasheet value; drives TIA stability
TRK-01,Mount payload capacity (AZ-GTi),Tracking,5,kg,VERIFIED,Matei,OPT-04,02 C4,OK,2026-09-12,
